"ObjectType","ObjectSignature","DefinedIn","FileOrder","SupersededBy","Superseded","IsLatestDefinition","DefinitionCount","ReviewStatus","ReviewNotes"
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text default null)","20260517_inventory_phase1_foundation.sql","50","20260518_fix_adjust_inventory_stock_signature.sql","True","False","2","Draft",""
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text default null)","20260518_fix_adjust_inventory_stock_signature.sql","58","","False","True","2","Draft",""
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text default null, p_created_by uuid default null)","20260518120000_inventory_movements_user_names.sql","61","20260518123000_fix_manual_inventory_created_by.sql","True","False","2","Draft",""
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text default null, p_created_by uuid default null)","20260518123000_fix_manual_inventory_created_by.sql","62","","False","True","2","Draft",""
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text, p_created_by uuid)","20260518124500_force_adjust_inventory_stock_created_by_signature.sql","63","20260518130000_reload_adjust_inventory_stock_created_by_signature.sql","True","False","2","Draft",""
"FUNCTION","public.adjust_inventory_stock(p_tenant_id uuid, p_branch_id uuid, p_catalog_item_id uuid, p_quantity_delta numeric, p_movement_type text, p_notes text, p_created_by uuid)","20260518130000_reload_adjust_inventory_stock_created_by_signature.sql","64","","False","True","2","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)","20260430_create_invoice_with_items_current_payload_safe.sql","15","20260430_create_invoice_with_items_safe_validation.sql","True","False","3","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)","20260430_create_invoice_with_items_safe_validation.sql","16","20260430_invoice_items_snapshot_allow_catalog_delete.sql","True","False","3","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items json default '[]'::json)","20260430_invoice_items_snapshot_allow_catalog_delete.sql","17","","False","True","3","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_create_invoice_with_items_current_payload_safe.sql","15","20260430_create_invoice_with_items_safe_validation.sql","True","False","3","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_create_invoice_with_items_safe_validation.sql","16","20260430_invoice_items_snapshot_allow_catalog_delete.sql","True","False","3","Draft",""
"FUNCTION","public.create_invoice_with_items(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_invoice_items_snapshot_allow_catalog_delete.sql","17","","False","True","3","Draft",""
"FUNCTION","public.create_invoice_with_items_safe(p_customer_name text, p_customer_phone text, p_customer_notes text default '', p_payment_method text default 'cash', p_discount numeric default 0, p_tax numeric default 0, p_note text default '', p_items jsonb default '[]'::jsonb)","20260430_create_invoice_with_items_current_payload_safe.sql","15","20260430_create_invoice_with_items_safe_validation.sql","True","False","7","Draft",""
